timestamp,symbol,action,rsi,price,type
2026-09-09T14:12:23.296029,TSLA,BUY,41.93,368.18,SIMULATED
2026-09-09T14:12:23.505115,NVDA,BUY,46.89,224.115,SIMULATED
2026-09-09T14:12:23.726413,AAPL,BUY,42.71,311.885,SIMULATED
2026-09-09T14:12:23.956966,MSFT,BUY,46.63,492.485,SIMULATED
2026-09-09T14:12:24.246267,QQQ,BUY,49.39,716.32,SIMULATED
2026-09-09T14:50:34.856787,AAPL,SELL,66.11,316.66,SIMULATED
2026-09-09T14:50:35.264834,AMD,BUY,46.08,522.285,SIMULATED
2026-09-09T15:55:45.861169,TSLA,SELL,40.00,367.99,SIMULATED
2026-09-09T15:55:45.922784,NVDA,SELL,43.96,223.76,SIMULATED
2026-09-09T15:55:45.981637,MSFT,SELL,44.60,491.69,SIMULATED
2026-09-09T15:55:46.047837,QQQ,SELL,44.97,715.995,SIMULATED
2026-09-09T15:55:46.108571,AMD,SELL,44.17,520.535,SIMULATED
2026-09-16T11:38:39.866111,AAPL,BUY,43.24,332.76,SIMULATED
2026-09-16T11:38:40.124967,MSFT,BUY,49.05,493.82,SIMULATED
2026-09-16T11:38:40.441772,AMZN,BUY,47.33,247.595,SIMULATED
2026-09-16T11:38:40.653058,META,BUY,38.03,676.325,SIMULATED
2026-09-16T11:38:40.884998,GOOGL,BUY,48.72,345.83,SIMULATED
2026-09-16T14:09:17.067338,AAPL,SELL,68.03,333.94,SIMULATED
2026-09-16T14:14:18.046253,META,SELL,68.84,680.695,SIMULATED
2026-09-16T14:19:19.146845,TSLA,BUY,43.64,360.54,SIMULATED
2026-09-16T14:19:19.893319,SPY,BUY,49.79,759.941,SIMULATED
2026-09-16T15:59:46.953034,MSFT,SELL,44.57,490.315,SIMULATED
2026-09-16T15:59:47.020812,AMZN,SELL,41.30,245.6,SIMULATED
2026-09-16T15:59:47.080931,GOOGL,SELL,50.95,343.68,SIMULATED
2026-09-16T15:59:47.134164,TSLA,SELL,47.58,358.14,SIMULATED
2026-09-16T15:59:47.208348,SPY,SELL,43.82,754.0775,SIMULATED
2026-09-17T05:50:01.138902,TSLA,BUY,49.19,362.877,SIMULATED
2026-09-17T05:50:01.570889,MSFT,BUY,42.01,494.0,SIMULATED
2026-09-17T05:50:01.791485,SPY,BUY,48.00,759.985,SIMULATED
2026-09-17T05:50:02.088349,AMZN,BUY,46.46,249.0801,SIMULATED
2026-09-17T08:00:35.036322,TSLA,SELL,72.75,364.22,SIMULATED
2026-09-17T08:00:35.190369,SPY,SELL,70.35,761.3799,SIMULATED
2026-09-17T08:00:35.991328,GOOGL,BUY,48.75,346.53,SIMULATED
2026-09-17T08:05:36.676889,AAPL,BUY,44.71,333.93,SIMULATED
2026-09-17T08:10:38.826315,AMZN,SELL,76.51,250.48,SIMULATED
2026-09-17T08:10:39.049967,META,BUY,49.79,680.0492,SIMULATED
2026-09-17T08:30:46.898469,META,SELL,66.07,681.7,SIMULATED
2026-09-17T08:30:46.956020,GOOGL,SELL,66.45,347.75,SIMULATED
2026-09-17T09:31:06.755783,MSFT,SELL,66.12,497.69,SIMULATED
2026-09-17T09:36:08.153421,NVDA,BUY,40.28,217.29,SIMULATED
2026-09-17T09:36:08.642729,SPY,BUY,36.25,761.39,SIMULATED
2026-09-17T09:36:08.869047,QQQ,BUY,40.22,714.11,SIMULATED
2026-09-17T09:36:09.086442,AMD,BUY,49.77,529.555,SIMULATED
2026-09-17T09:51:12.999099,AMD,SELL,65.84,535.0,SIMULATED
2026-09-17T09:51:13.268223,AMZN,BUY,37.17,249.86,SIMULATED
2026-09-17T20:01:36.864207,AAPL,SELL,37.93,336.1,SIMULATED
2026-09-17T20:01:36.935222,NVDA,SELL,51.89,219.24,SIMULATED
2026-09-17T20:01:36.997547,SPY,SELL,51.22,762.0785,SIMULATED
2026-09-17T20:01:37.083664,QQQ,SELL,47.75,715.8,SIMULATED
2026-09-17T20:01:37.139822,AMZN,SELL,27.76,250.01,SIMULATED
